Month,District,OCR
2007-01,Rodney,7.25
2007-01,Waitakere,7.25
2007-02,AucklandCity,7.25
2007-02,Franklin,7.25
2007-02,Manukau,7.25
2007-02,NorthShore,7.25
2007-02,Papakura,7.25
2007-02,Rodney,7.25
2007-02,Waitakere,7.25
2007-03,AucklandCity,7.5
2007-03,Franklin,7.5
2007-03,Manukau,7.5
2007-03,NorthShore,7.5
2007-03,Papakura,7.5
2007-03,Rodney,7.5
2007-03,Waitakere,7.5
2007-04,AucklandCity,7.75
2007-04,Franklin,7.75
2007-04,Manukau,7.75
2007-04,NorthShore,7.75
2007-04,Papakura,7.75
2007-04,Rodney,7.75
2007-04,Waitakere,7.75
2007-05,AucklandCity,7.75
2007-05,Franklin,7.75
2007-05,Manukau,7.75
2007-05,NorthShore,7.75
2007-05,Papakura,7.75
2007-05,Rodney,7.75
2007-05,Waitakere,7.75
2007-06,AucklandCity,8.0
2007-06,Franklin,8.0
2007-06,Manukau,8.0
2007-06,NorthShore,8.0
2007-06,Papakura,8.0
2007-06,Rodney,8.0
2007-06,Waitakere,8.0
2007-07,AucklandCity,8.25
2007-07,Franklin,8.25
2007-07,Manukau,8.25
2007-07,NorthShore,8.25
2007-07,Papakura,8.25
2007-07,Rodney,8.25
2007-07,Waitakere,8.25
2007-08,AucklandCity,8.25
2007-08,Franklin,8.25
2007-08,Manukau,8.25
2007-08,NorthShore,8.25
2007-08,Papakura,8.25
2007-08,Rodney,8.25
2007-08,Waitakere,8.25
2007-09,AucklandCity,8.25
2007-09,Franklin,8.25
2007-09,Manukau,8.25
2007-09,NorthShore,8.25
2007-09,Papakura,8.25
2007-09,Rodney,8.25
2007-09,Waitakere,8.25
2007-10,AucklandCity,8.25
2007-10,Franklin,8.25
2007-10,Manukau,8.25
2007-10,NorthShore,8.25
2007-10,Papakura,8.25
2007-10,Rodney,8.25
2007-10,Waitakere,8.25
2007-11,AucklandCity,8.25
2007-11,Franklin,8.25
2007-11,Manukau,8.25
2007-11,NorthShore,8.25
2007-11,Papakura,8.25
2007-11,Rodney,8.25
2007-11,Waitakere,8.25
2007-12,AucklandCity,8.25
2007-12,Franklin,8.25
2007-12,Manukau,8.25
2007-12,NorthShore,8.25
2007-12,Papakura,8.25
2007-12,Rodney,8.25
2007-12,Waitakere,8.25
2008-01,AucklandCity,8.25
2008-01,Franklin,8.25
2008-01,Manukau,8.25
2008-01,NorthShore,8.25
2008-01,Papakura,8.25
2008-01,Rodney,8.25
2008-01,Waitakere,8.25
2008-02,AucklandCity,8.25
2008-02,Franklin,8.25
2008-02,Manukau,8.25
2008-02,NorthShore,8.25
2008-02,Papakura,8.25
2008-02,Rodney,8.25
2008-02,Waitakere,8.25
2008-03,AucklandCity,8.25
2008-03,Franklin,8.25
2008-03,Manukau,8.25
2008-03,NorthShore,8.25
2008-03,Papakura,8.25
2008-03,Rodney,8.25
2008-03,Waitakere,8.25
2008-04,AucklandCity,8.25
2008-04,Franklin,8.25
2008-04,Manukau,8.25
2008-04,NorthShore,8.25
2008-04,Papakura,8.25
2008-04,Rodney,8.25
2008-04,Waitakere,8.25
2008-05,AucklandCity,8.25
2008-05,Franklin,8.25
2008-05,Manukau,8.25
2008-05,NorthShore,8.25
2008-05,Papakura,8.25
2008-05,Rodney,8.25
2008-05,Waitakere,8.25
2008-06,AucklandCity,8.25
2008-06,Franklin,8.25
2008-06,Manukau,8.25
2008-06,NorthShore,8.25
2008-06,Papakura,8.25
2008-06,Rodney,8.25
2008-06,Waitakere,8.25
2008-07,AucklandCity,8.0
2008-07,Franklin,8.0
2008-07,Manukau,8.0
2008-07,NorthShore,8.0
2008-07,Papakura,8.0
2008-07,Rodney,8.0
2008-07,Waitakere,8.0
2008-08,AucklandCity,8.0
2008-08,Franklin,8.0
2008-08,Manukau,8.0
2008-08,NorthShore,8.0
2008-08,Papakura,8.0
2008-08,Rodney,8.0
2008-08,Waitakere,8.0
2008-09,AucklandCity,7.5
2008-09,Franklin,7.5
2008-09,Manukau,7.5
2008-09,NorthShore,7.5
2008-09,Papakura,7.5
2008-09,Rodney,7.5
2008-09,Waitakere,7.5
2008-10,AucklandCity,6.5
2008-10,Franklin,6.5
2008-10,Manukau,6.5
2008-10,NorthShore,6.5
2008-10,Papakura,6.5
2008-10,Rodney,6.5
2008-10,Waitakere,6.5
2008-11,AucklandCity,6.5
2008-11,Franklin,6.5
2008-11,Manukau,6.5
2008-11,NorthShore,6.5
2008-11,Papakura,6.5
2008-11,Rodney,6.5
2008-11,Waitakere,6.5
2008-12,AucklandCity,5.0
2008-12,Franklin,5.0
2008-12,Manukau,5.0
2008-12,NorthShore,5.0
2008-12,Papakura,5.0
2008-12,Rodney,5.0
2008-12,Waitakere,5.0
2009-01,AucklandCity,3.5
2009-01,Franklin,3.5
2009-01,Manukau,3.5
2009-01,NorthShore,3.5
2009-01,Papakura,3.5
2009-01,Rodney,3.5
2009-01,Waitakere,3.5
2009-02,AucklandCity,3.5
2009-02,Franklin,3.5
2009-02,Manukau,3.5
2009-02,NorthShore,3.5
2009-02,Papakura,3.5
2009-02,Rodney,3.5
2009-02,Waitakere,3.5
2009-03,AucklandCity,3.0
2009-03,Franklin,3.0
2009-03,Manukau,3.0
2009-03,NorthShore,3.0
2009-03,Papakura,3.0
2009-03,Rodney,3.0
2009-03,Waitakere,3.0
2009-04,AucklandCity,2.5
2009-04,Franklin,2.5
2009-04,Manukau,2.5
2009-04,NorthShore,2.5
2009-04,Papakura,2.5
2009-04,Rodney,2.5
2009-04,Waitakere,2.5
2009-05,AucklandCity,2.5
2009-05,Franklin,2.5
2009-05,Manukau,2.5
2009-05,NorthShore,2.5
2009-05,Papakura,2.5
2009-05,Rodney,2.5
2009-05,Waitakere,2.5
2009-06,AucklandCity,2.5
2009-06,Franklin,2.5
2009-06,Manukau,2.5
2009-06,NorthShore,2.5
2009-06,Papakura,2.5
2009-06,Rodney,2.5
2009-06,Waitakere,2.5
2009-07,AucklandCity,2.5
2009-07,Franklin,2.5
2009-07,Manukau,2.5
2009-07,NorthShore,2.5
2009-07,Papakura,2.5
2009-07,Rodney,2.5
2009-07,Waitakere,2.5
2009-08,AucklandCity,2.5
2009-08,Franklin,2.5
2009-08,Manukau,2.5
2009-08,NorthShore,2.5
2009-08,Papakura,2.5
2009-08,Rodney,2.5
2009-08,Waitakere,2.5
2009-09,AucklandCity,2.5
2009-09,Franklin,2.5
2009-09,Manukau,2.5
2009-09,NorthShore,2.5
2009-09,Papakura,2.5
2009-09,Rodney,2.5
2009-09,Waitakere,2.5
2009-10,AucklandCity,2.5
2009-10,Franklin,2.5
2009-10,Manukau,2.5
2009-10,NorthShore,2.5
2009-10,Papakura,2.5
2009-10,Rodney,2.5
2009-10,Waitakere,2.5
2009-11,AucklandCity,2.5
2009-11,Franklin,2.5
2009-11,Manukau,2.5
2009-11,NorthShore,2.5
2009-11,Papakura,2.5
2009-11,Rodney,2.5
2009-11,Waitakere,2.5
2009-12,AucklandCity,2.5
2009-12,Franklin,2.5
2009-12,Manukau,2.5
2009-12,NorthShore,2.5
2009-12,Papakura,2.5
2009-12,Rodney,2.5
2009-12,Waitakere,2.5
2010-01,AucklandCity,2.5
2010-01,Franklin,2.5
2010-01,Manukau,2.5
2010-01,NorthShore,2.5
2010-01,Papakura,2.5
2010-01,Rodney,2.5
2010-01,Waitakere,2.5
2010-02,AucklandCity,2.5
2010-02,Franklin,2.5
2010-02,Manukau,2.5
2010-02,NorthShore,2.5
2010-02,Papakura,2.5
2010-02,Rodney,2.5
2010-02,Waitakere,2.5
2010-03,AucklandCity,2.5
2010-03,Franklin,2.5
2010-03,Manukau,2.5
2010-03,NorthShore,2.5
2010-03,Papakura,2.5
2010-03,Rodney,2.5
2010-03,Waitakere,2.5
2010-04,AucklandCity,2.5
2010-04,Franklin,2.5
2010-04,Manukau,2.5
2010-04,NorthShore,2.5
2010-04,Papakura,2.5
2010-04,Rodney,2.5
2010-04,Waitakere,2.5
2010-05,AucklandCity,2.5
2010-05,Franklin,2.5
2010-05,Manukau,2.5
2010-05,NorthShore,2.5
2010-05,Papakura,2.5
2010-05,Rodney,2.5
2010-05,Waitakere,2.5
2010-06,AucklandCity,2.5
2010-06,Franklin,2.5
2010-06,Manukau,2.5
2010-06,NorthShore,2.5
2010-06,Papakura,2.5
2010-06,Rodney,2.5
2010-06,Waitakere,2.5
2010-07,AucklandCity,3.0
2010-07,Franklin,3.0
2010-07,Manukau,3.0
2010-07,NorthShore,3.0
2010-07,Papakura,3.0
2010-07,Rodney,3.0
2010-07,Waitakere,3.0
2010-08,AucklandCity,3.0
2010-08,Franklin,3.0
2010-08,Manukau,3.0
2010-08,NorthShore,3.0
2010-08,Papakura,3.0
2010-08,Rodney,3.0
2010-08,Waitakere,3.0
2010-09,AucklandCity,3.0
2010-09,Franklin,3.0
2010-09,Manukau,3.0
2010-09,NorthShore,3.0
2010-09,Papakura,3.0
2010-09,Rodney,3.0
2010-09,Waitakere,3.0
2010-10,AucklandCity,3.0
2010-10,Franklin,3.0
2010-10,Manukau,3.0
2010-10,NorthShore,3.0
2010-10,Papakura,3.0
2010-10,Rodney,3.0
2010-10,Waitakere,3.0
2010-11,AucklandCity,3.0
2010-11,Franklin,3.0
2010-11,Manukau,3.0
2010-11,NorthShore,3.0
2010-11,Papakura,3.0
2010-11,Rodney,3.0
2010-11,Waitakere,3.0
2010-12,AucklandCity,3.0
2010-12,Franklin,3.0
2010-12,Manukau,3.0
2010-12,NorthShore,3.0
2010-12,Papakura,3.0
2010-12,Rodney,3.0
2010-12,Waitakere,3.0
2011-01,AucklandCity,3.0
2011-01,Franklin,3.0
2011-01,Manukau,3.0
2011-01,NorthShore,3.0
2011-01,Papakura,3.0
2011-01,Rodney,3.0
2011-01,Waitakere,3.0
2011-02,AucklandCity,3.0
2011-02,Franklin,3.0
2011-02,Manukau,3.0
2011-02,NorthShore,3.0
2011-02,Papakura,3.0
2011-02,Rodney,3.0
2011-02,Waitakere,3.0
2011-03,AucklandCity,2.5
2011-03,Franklin,2.5
2011-03,Manukau,2.5
2011-03,NorthShore,2.5
2011-03,Papakura,2.5
2011-03,Rodney,2.5
2011-03,Waitakere,2.5
2011-04,AucklandCity,2.5
2011-04,Franklin,2.5
2011-04,Manukau,2.5
2011-04,NorthShore,2.5
2011-04,Papakura,2.5
2011-04,Rodney,2.5
2011-04,Waitakere,2.5
2011-05,AucklandCity,2.5
2011-05,Franklin,2.5
2011-05,Manukau,2.5
2011-05,NorthShore,2.5
2011-05,Papakura,2.5
2011-05,Rodney,2.5
2011-05,Waitakere,2.5
2011-06,AucklandCity,2.5
2011-06,Franklin,2.5
2011-06,Manukau,2.5
2011-06,NorthShore,2.5
2011-06,Papakura,2.5
2011-06,Rodney,2.5
2011-06,Waitakere,2.5
2011-07,AucklandCity,2.5
2011-07,Franklin,2.5
2011-07,Manukau,2.5
2011-07,NorthShore,2.5
2011-07,Papakura,2.5
2011-07,Rodney,2.5
2011-07,Waitakere,2.5
2011-08,AucklandCity,2.5
2011-08,Franklin,2.5
2011-08,Manukau,2.5
2011-08,NorthShore,2.5
2011-08,Papakura,2.5
2011-08,Rodney,2.5
2011-08,Waitakere,2.5
2011-09,AucklandCity,2.5
2011-09,Franklin,2.5
2011-09,Manukau,2.5
2011-09,NorthShore,2.5
2011-09,Papakura,2.5
2011-09,Rodney,2.5
2011-09,Waitakere,2.5
2011-10,AucklandCity,2.5
2011-10,Franklin,2.5
2011-10,Manukau,2.5
2011-10,NorthShore,2.5
2011-10,Papakura,2.5
2011-10,Rodney,2.5
2011-10,Waitakere,2.5
2011-11,AucklandCity,2.5
2011-11,Franklin,2.5
2011-11,Manukau,2.5
2011-11,NorthShore,2.5
2011-11,Papakura,2.5
2011-11,Rodney,2.5
2011-11,Waitakere,2.5
2011-12,AucklandCity,2.5
2011-12,Franklin,2.5
2011-12,Manukau,2.5
2011-12,NorthShore,2.5
2011-12,Papakura,2.5
2011-12,Rodney,2.5
2011-12,Waitakere,2.5
2012-01,AucklandCity,2.5
2012-01,Franklin,2.5
2012-01,Manukau,2.5
2012-01,NorthShore,2.5
2012-01,Papakura,2.5
2012-01,Rodney,2.5
2012-01,Waitakere,2.5
2012-02,AucklandCity,2.5
2012-02,Franklin,2.5
2012-02,Manukau,2.5
2012-02,NorthShore,2.5
2012-02,Papakura,2.5
2012-02,Rodney,2.5
2012-02,Waitakere,2.5
2012-03,AucklandCity,2.5
2012-03,Franklin,2.5
2012-03,Manukau,2.5
2012-03,NorthShore,2.5
2012-03,Papakura,2.5
2012-03,Rodney,2.5
2012-03,Waitakere,2.5
2012-04,AucklandCity,2.5
2012-04,Franklin,2.5
2012-04,Manukau,2.5
2012-04,NorthShore,2.5
2012-04,Papakura,2.5
2012-04,Rodney,2.5
2012-04,Waitakere,2.5
2012-05,AucklandCity,2.5
2012-05,Franklin,2.5
2012-05,Manukau,2.5
2012-05,NorthShore,2.5
2012-05,Papakura,2.5
2012-05,Rodney,2.5
2012-05,Waitakere,2.5
2012-06,AucklandCity,2.5
2012-06,Franklin,2.5
2012-06,Manukau,2.5
2012-06,NorthShore,2.5
2012-06,Papakura,2.5
2012-06,Rodney,2.5
2012-06,Waitakere,2.5
2012-07,AucklandCity,2.5
2012-07,Franklin,2.5
2012-07,Manukau,2.5
2012-07,NorthShore,2.5
2012-07,Papakura,2.5
2012-07,Rodney,2.5
2012-07,Waitakere,2.5
2012-08,AucklandCity,2.5
2012-08,Franklin,2.5
2012-08,Manukau,2.5
2012-08,NorthShore,2.5
2012-08,Papakura,2.5
2012-08,Rodney,2.5
2012-08,Waitakere,2.5
2012-09,AucklandCity,2.5
2012-09,Franklin,2.5
2012-09,Manukau,2.5
2012-09,NorthShore,2.5
2012-09,Papakura,2.5
2012-09,Rodney,2.5
2012-09,Waitakere,2.5
2012-10,AucklandCity,2.5
2012-10,Franklin,2.5
2012-10,Manukau,2.5
2012-10,NorthShore,2.5
2012-10,Papakura,2.5
2012-10,Rodney,2.5
2012-10,Waitakere,2.5
2012-11,AucklandCity,2.5
2012-11,Franklin,2.5
2012-11,Manukau,2.5
2012-11,NorthShore,2.5
2012-11,Papakura,2.5
2012-11,Rodney,2.5
2012-11,Waitakere,2.5
2012-12,AucklandCity,2.5
2012-12,Franklin,2.5
2012-12,Manukau,2.5
2012-12,NorthShore,2.5
2012-12,Papakura,2.5
2012-12,Rodney,2.5
2012-12,Waitakere,2.5
2013-01,AucklandCity,2.5
2013-01,Franklin,2.5
2013-01,Manukau,2.5
2013-01,NorthShore,2.5
2013-01,Papakura,2.5
2013-01,Rodney,2.5
2013-01,Waitakere,2.5
2013-02,AucklandCity,2.5
2013-02,Franklin,2.5
2013-02,Manukau,2.5
2013-02,NorthShore,2.5
2013-02,Papakura,2.5
2013-02,Rodney,2.5
2013-02,Waitakere,2.5
2013-03,AucklandCity,2.5
2013-03,Franklin,2.5
2013-03,Manukau,2.5
2013-03,NorthShore,2.5
2013-03,Papakura,2.5
2013-03,Rodney,2.5
2013-03,Waitakere,2.5
2013-04,AucklandCity,2.5
2013-04,Franklin,2.5
2013-04,Manukau,2.5
2013-04,NorthShore,2.5
2013-04,Papakura,2.5
2013-04,Rodney,2.5
2013-04,Waitakere,2.5
2013-05,AucklandCity,2.5
2013-05,Franklin,2.5
2013-05,Manukau,2.5
2013-05,NorthShore,2.5
2013-05,Papakura,2.5
2013-05,Rodney,2.5
2013-05,Waitakere,2.5
2013-06,AucklandCity,2.5
2013-06,Franklin,2.5
2013-06,Manukau,2.5
2013-06,NorthShore,2.5
2013-06,Papakura,2.5
2013-06,Rodney,2.5
2013-06,Waitakere,2.5
2013-07,AucklandCity,2.5
2013-07,Franklin,2.5
2013-07,Manukau,2.5
2013-07,NorthShore,2.5
2013-07,Papakura,2.5
2013-07,Rodney,2.5
2013-07,Waitakere,2.5
2013-08,AucklandCity,2.5
2013-08,Franklin,2.5
2013-08,Manukau,2.5
2013-08,NorthShore,2.5
2013-08,Papakura,2.5
2013-08,Rodney,2.5
2013-08,Waitakere,2.5
2013-09,AucklandCity,2.5
2013-09,Franklin,2.5
2013-09,Manukau,2.5
2013-09,NorthShore,2.5
2013-09,Papakura,2.5
2013-09,Rodney,2.5
2013-09,Waitakere,2.5
2013-10,AucklandCity,2.5
2013-10,Franklin,2.5
2013-10,Manukau,2.5
2013-10,NorthShore,2.5
2013-10,Papakura,2.5
2013-10,Rodney,2.5
2013-10,Waitakere,2.5
2013-11,AucklandCity,2.5
2013-11,Franklin,2.5
2013-11,Manukau,2.5
2013-11,NorthShore,2.5
2013-11,Papakura,2.5
2013-11,Rodney,2.5
2013-11,Waitakere,2.5
2013-12,AucklandCity,2.5
2013-12,Franklin,2.5
2013-12,Manukau,2.5
2013-12,NorthShore,2.5
2013-12,Papakura,2.5
2013-12,Rodney,2.5
2013-12,Waitakere,2.5
2014-01,AucklandCity,2.5
2014-01,Franklin,2.5
2014-01,Manukau,2.5
2014-01,NorthShore,2.5
2014-01,Papakura,2.5
2014-01,Rodney,2.5
2014-01,Waitakere,2.5
2014-02,AucklandCity,2.5
2014-02,Franklin,2.5
2014-02,Manukau,2.5
2014-02,NorthShore,2.5
2014-02,Papakura,2.5
2014-02,Rodney,2.5
2014-02,Waitakere,2.5
2014-03,AucklandCity,2.75
2014-03,Franklin,2.75
2014-03,Manukau,2.75
2014-03,NorthShore,2.75
2014-03,Papakura,2.75
2014-03,Rodney,2.75
2014-03,Waitakere,2.75
2014-04,AucklandCity,3.0
2014-04,Franklin,3.0
2014-04,Manukau,3.0
2014-04,NorthShore,3.0
2014-04,Papakura,3.0
2014-04,Rodney,3.0
2014-04,Waitakere,3.0
2014-05,AucklandCity,3.0
2014-05,Franklin,3.0
2014-05,Manukau,3.0
2014-05,NorthShore,3.0
2014-05,Papakura,3.0
2014-05,Rodney,3.0
2014-05,Waitakere,3.0
2014-06,AucklandCity,3.25
2014-06,Franklin,3.25
2014-06,Manukau,3.25
2014-06,NorthShore,3.25
2014-06,Papakura,3.25
2014-06,Rodney,3.25
2014-06,Waitakere,3.25
2014-07,AucklandCity,3.5
2014-07,Franklin,3.5
2014-07,Manukau,3.5
2014-07,NorthShore,3.5
2014-07,Papakura,3.5
2014-07,Rodney,3.5
2014-07,Waitakere,3.5
2014-08,AucklandCity,3.5
2014-08,Franklin,3.5
2014-08,Manukau,3.5
2014-08,NorthShore,3.5
2014-08,Papakura,3.5
2014-08,Rodney,3.5
2014-08,Waitakere,3.5
2014-09,AucklandCity,3.5
2014-09,Franklin,3.5
2014-09,Manukau,3.5
2014-09,NorthShore,3.5
2014-09,Papakura,3.5
2014-09,Rodney,3.5
2014-09,Waitakere,3.5
2014-10,AucklandCity,3.5
2014-10,Franklin,3.5
2014-10,Manukau,3.5
2014-10,NorthShore,3.5
2014-10,Papakura,3.5
2014-10,Rodney,3.5
2014-10,Waitakere,3.5
2014-11,AucklandCity,3.5
2014-11,Franklin,3.5
2014-11,Manukau,3.5
2014-11,NorthShore,3.5
2014-11,Papakura,3.5
2014-11,Rodney,3.5
2014-11,Waitakere,3.5
2014-12,AucklandCity,3.5
2014-12,Franklin,3.5
2014-12,Manukau,3.5
2014-12,NorthShore,3.5
2014-12,Papakura,3.5
2014-12,Rodney,3.5
2014-12,Waitakere,3.5
2015-01,AucklandCity,3.5
2015-01,Franklin,3.5
2015-01,Manukau,3.5
2015-01,NorthShore,3.5
2015-01,Papakura,3.5
2015-01,Rodney,3.5
2015-01,Waitakere,3.5
2015-02,AucklandCity,3.5
2015-02,Franklin,3.5
2015-02,Manukau,3.5
2015-02,NorthShore,3.5
2015-02,Papakura,3.5
2015-02,Rodney,3.5
2015-02,Waitakere,3.5
2015-03,AucklandCity,3.5
2015-03,Franklin,3.5
2015-03,Manukau,3.5
2015-03,NorthShore,3.5
2015-03,Papakura,3.5
2015-03,Rodney,3.5
2015-03,Waitakere,3.5
2015-04,AucklandCity,3.5
2015-04,Franklin,3.5
2015-04,Manukau,3.5
2015-04,NorthShore,3.5
2015-04,Papakura,3.5
2015-04,Rodney,3.5
2015-04,Waitakere,3.5
2015-05,AucklandCity,3.5
2015-05,Franklin,3.5
2015-05,Manukau,3.5
2015-05,NorthShore,3.5
2015-05,Papakura,3.5
2015-05,Rodney,3.5
2015-05,Waitakere,3.5
2015-06,AucklandCity,3.25
2015-06,Franklin,3.25
2015-06,Manukau,3.25
2015-06,NorthShore,3.25
2015-06,Papakura,3.25
2015-06,Rodney,3.25
2015-06,Waitakere,3.25
2015-07,AucklandCity,3.0
2015-07,Franklin,3.0
2015-07,Manukau,3.0
2015-07,NorthShore,3.0
2015-07,Papakura,3.0
2015-07,Rodney,3.0
2015-07,Waitakere,3.0
2015-08,AucklandCity,3.0
2015-08,Franklin,3.0
2015-08,Manukau,3.0
2015-08,NorthShore,3.0
2015-08,Papakura,3.0
2015-08,Rodney,3.0
2015-08,Waitakere,3.0
2015-09,AucklandCity,2.75
2015-09,Franklin,2.75
2015-09,Manukau,2.75
2015-09,NorthShore,2.75
2015-09,Papakura,2.75
2015-09,Rodney,2.75
2015-09,Waitakere,2.75
2015-10,AucklandCity,2.75
2015-10,Franklin,2.75
2015-10,Manukau,2.75
2015-10,NorthShore,2.75
2015-10,Papakura,2.75
2015-10,Rodney,2.75
2015-10,Waitakere,2.75
2015-11,AucklandCity,2.75
2015-11,Franklin,2.75
2015-11,Manukau,2.75
2015-11,NorthShore,2.75
2015-11,Papakura,2.75
2015-11,Rodney,2.75
2015-11,Waitakere,2.75
2015-12,AucklandCity,2.5
2015-12,Franklin,2.5
2015-12,Manukau,2.5
2015-12,NorthShore,2.5
2015-12,Papakura,2.5
2015-12,Rodney,2.5
2015-12,Waitakere,2.5
2016-01,AucklandCity,2.5
2016-01,Franklin,2.5
2016-01,Manukau,2.5
2016-01,NorthShore,2.5
2016-01,Papakura,2.5
2016-01,Rodney,2.5
2016-01,Waitakere,2.5
2016-02,AucklandCity,2.5
2016-02,Franklin,2.5
2016-02,Manukau,2.5
2016-02,NorthShore,2.5
2016-02,Papakura,2.5
2016-02,Rodney,2.5
2016-02,Waitakere,2.5
2016-03,AucklandCity,2.25
2016-03,Franklin,2.25
2016-03,Manukau,2.25
2016-03,NorthShore,2.25
2016-03,Papakura,2.25
2016-03,Rodney,2.25
2016-03,Waitakere,2.25
2016-04,AucklandCity,2.25
2016-04,Franklin,2.25
2016-04,Manukau,2.25
2016-04,NorthShore,2.25
2016-04,Papakura,2.25
2016-04,Rodney,2.25
2016-04,Waitakere,2.25
2016-05,AucklandCity,2.25
2016-05,Franklin,2.25
2016-05,Manukau,2.25
2016-05,NorthShore,2.25
2016-05,Papakura,2.25
2016-05,Rodney,2.25
2016-05,Waitakere,2.25
2016-06,AucklandCity,2.25
2016-06,Franklin,2.25
2016-06,Manukau,2.25
2016-06,NorthShore,2.25
2016-06,Papakura,2.25
2016-06,Rodney,2.25
2016-06,Waitakere,2.25
2016-07,AucklandCity,2.25
2016-07,Franklin,2.25
2016-07,Manukau,2.25
2016-07,NorthShore,2.25
2016-07,Papakura,2.25
2016-07,Rodney,2.25
2016-07,Waitakere,2.25
2016-08,AucklandCity,2.0
2016-08,Franklin,2.0
2016-08,Manukau,2.0
2016-08,NorthShore,2.0
2016-08,Papakura,2.0
2016-08,Rodney,2.0
2016-08,Waitakere,2.0
2016-09,AucklandCity,2.0
2016-09,Franklin,2.0
2016-09,Manukau,2.0
2016-09,NorthShore,2.0
2016-09,Papakura,2.0
2016-09,Rodney,2.0
2016-09,Waitakere,2.0
2016-10,AucklandCity,2.0
2016-10,Franklin,2.0
2016-10,Manukau,2.0
2016-10,NorthShore,2.0
2016-10,Papakura,2.0
2016-10,Rodney,2.0
2016-10,Waitakere,2.0
2016-11,AucklandCity,1.75
2016-11,Franklin,1.75
2016-11,Manukau,1.75
2016-11,NorthShore,1.75
2016-11,Papakura,1.75
2016-11,Rodney,1.75
2016-11,Waitakere,1.75
2016-12,AucklandCity,1.75
2016-12,Franklin,1.75
2016-12,Manukau,1.75
2016-12,NorthShore,1.75
2016-12,Papakura,1.75
2016-12,Rodney,1.75
2016-12,Waitakere,1.75
2017-01,AucklandCity,1.75
2017-01,Franklin,1.75
2017-01,Manukau,1.75
2017-01,NorthShore,1.75
2017-01,Papakura,1.75
2017-01,Rodney,1.75
2017-01,Waitakere,1.75
2017-02,AucklandCity,1.75
2017-02,Franklin,1.75
2017-02,Manukau,1.75
2017-02,NorthShore,1.75
2017-02,Papakura,1.75
2017-02,Rodney,1.75
2017-02,Waitakere,1.75
2017-03,AucklandCity,1.75
2017-03,Franklin,1.75
2017-03,Manukau,1.75
2017-03,NorthShore,1.75
2017-03,Papakura,1.75
2017-03,Rodney,1.75
2017-03,Waitakere,1.75
2017-04,AucklandCity,1.75
2017-04,Franklin,1.75
2017-04,Manukau,1.75
2017-04,NorthShore,1.75
2017-04,Papakura,1.75
2017-04,Rodney,1.75
2017-04,Waitakere,1.75
2017-05,AucklandCity,1.75
2017-05,Franklin,1.75
2017-05,Manukau,1.75
2017-05,NorthShore,1.75
2017-05,Papakura,1.75
2017-05,Rodney,1.75
2017-05,Waitakere,1.75
